c FILE: G2-n200-d5-1.dat

p edge 200 995
e 1 38
e 1 75
e 1 140
e 1 159
e 1 167
e 1 172
e 1 181
e 1 186
e 1 190
e 2 22
e 2 35
e 2 66
e 2 81
e 2 115
e 2 129
e 2 153
e 2 164
e 2 185
e 2 195
e 3 10
e 3 19
e 3 36
e 3 41
e 3 46
e 3 47
e 3 56
e 3 64
e 3 87
e 3 96
e 3 99
e 3 105
e 3 110
e 3 114
e 3 122
e 3 129
e 3 164
e 3 184
e 3 197
e 4 12
e 4 15
e 4 16
e 4 21
e 4 30
e 4 33
e 4 44
e 4 46
e 4 49
e 4 54
e 4 80
e 4 92
e 4 115
e 4 150
e 4 178
e 4 185
e 4 196
e 5 14
e 5 32
e 5 78
e 5 102
e 5 108
e 5 137
e 5 141
e 5 147
e 5 153
e 5 181
e 6 11
e 6 21
e 6 51
e 6 65
e 6 122
e 6 126
e 6 132
e 6 139
e 6 145
e 6 147
e 6 149
e 6 151
e 6 158
e 6 160
e 6 171
e 6 173
e 6 176
e 6 177
e 7 13
e 7 15
e 7 29
e 7 49
e 7 131
e 7 141
e 8 10
e 8 44
e 8 77
e 8 121
e 8 123
e 9 45
e 9 66
e 9 115
e 9 123
e 9 140
e 9 152
e 9 171
e 9 187
e 10 13
e 10 20
e 10 30
e 10 66
e 10 107
e 10 119
e 10 141
e 10 150
e 10 190
e 10 197
e 11 31
e 11 49
e 11 54
e 11 63
e 11 83
e 11 89
e 11 190
e 12 43
e 12 45
e 12 55
e 12 102
e 12 110
e 12 119
e 12 153
e 12 154
e 12 172
e 12 193
e 13 14
e 13 58
e 13 60
e 13 62
e 13 73
e 13 85
e 13 87
e 13 106
e 13 174
e 13 191
e 13 196
e 14 18
e 14 45
e 14 50
e 14 99
e 14 101
e 14 116
e 14 117
e 14 119
e 14 133
e 14 163
e 14 166
e 14 187
e 15 22
e 15 38
e 15 48
e 15 59
e 15 120
e 15 161
e 15 165
e 15 169
e 16 47
e 16 56
e 16 100
e 16 118
e 16 163
e 16 169
e 16 179
e 17 67
e 17 71
e 17 75
e 17 142
e 17 146
e 17 195
e 18 20
e 18 39
e 18 73
e 18 74
e 18 86
e 18 153
e 18 155
e 18 175
e 18 183
e 18 197
e 19 35
e 19 43
e 19 44
e 19 75
e 19 78
e 19 103
e 19 110
e 19 112
e 19 149
e 19 151
e 19 158
e 19 189
e 20 52
e 20 146
e 20 182
e 21 24
e 21 39
e 21 99
