Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
1-FullIns_3.col;8;4;3.71(26/7);3.33(10/3);4;4;3.50(7/2);4.00(4/1);4;4;3.50(7/2);4.00(4/1);4;4;3.33(10/3);4.00(4/1)
1-FullIns_4.col;11;5;4.00(52/13);4.00(24/6);5;5;4.00(8/2);4.00(32/8);5;5;4.00(8/2);4.50(9/2);5;5;4.00(8/2);4.00(20/5)
2-FullIns_3.col;10;5;4.50(54/12);4.50(9/2);5;5;4.50(9/2);4.33(13/3);5;5;4.25(17/4);4.50(9/2);5;5;4.33(13/3);5.00(5/1)
2-FullIns_4.col;14;6;4.92(59/12);5.00(15/3);6;6;5.00(10/2);4.71(33/7);8;7;5.00(25/5);5.00(15/3);6;6;5.00(10/2);5.00(20/4)
2-Insertions_3.col;4;4;3.00(15/5);3.00(6/2);4;4;3.00(9/3);3.00(6/2);4;4;2.67(8/3);2.67(8/3);4;4;3.00(9/3);3.00(6/2)
2-Insertions_4.col;5;5;2.92(35/12);3.50(7/2);5;5;3.25(13/4);3.20(16/5);5;5;3.50(7/2);3.00(18/6);5;5;2.89(26/9);3.00(15/5)
3-FullIns_3.col;12;6;5.35(107/20);5.25(21/4);6;6;5.50(11/2);5.20(26/5);6;6;5.20(26/5);5.33(16/3);6;6;5.20(26/5);5.25(21/4)
4-FullIns_3.col;14;7;6.27(188/30);6.25(25/4);7;7;6.50(13/2);6.20(31/5);7;7;6.17(37/6);6.25(25/4);7;7;6.20(31/5);6.33(19/3)
5-FullIns_3.col;16;8;7.21(303/42);7.25(29/4);8;8;7.50(15/2);7.17(43/6);8;8;7.14(50/7);7.20(36/5);8;8;7.14(50/7);7.17(43/6)
DSJC125.9.col;56;51;51.00(102/2);47.50(190/4);53;52;49.40(247/5);48.12(385/8);52;51;48.60(243/5);47.43(332/7);51;51;51.00(51/1);48.00(144/3)
DSJC250.9.col;99;94;84.44(760/9);82.57(1156/14);93;89;83.17(998/12);82.83(497/6);96;90;85.00(255/3);81.88(655/8);92;86;83.75(335/4);81.88(655/8)
myciel4.col;5;5;3.67(11/3);3.67(11/3);5;5;3.50(7/2);4.00(8/2);5;5;4.00(8/2);3.67(11/3);5;5;3.50(7/2);3.67(11/3)
myciel5.col;6;6;4.00(20/5);4.00(28/7);6;6;4.00(16/4);4.50(9/2);6;6;4.33(13/3);4.00(20/5);6;6;4.00(16/4);4.00(48/12)
myciel6.col;7;7;4.67(14/3);4.75(19/4);7;7;5.00(15/3);4.50(27/6);7;7;4.67(14/3);4.60(23/5);7;7;4.33(26/6);5.00(10/2)
myciel7.col;8;8;5.33(16/3);4.88(39/8);8;8;5.20(26/5);5.00(40/8);8;8;5.33(16/3);5.50(11/2);8;8;5.00(20/4);5.00(30/6)
queen11_11.col;17;16;14.25(57/4);14.00(56/4);17;15;13.83(83/6);13.60(68/5);16;15;14.00(42/3);13.60(68/5);15;15;13.25(53/4);13.60(68/5)
queen13_13.col;21;18;17.00(51/3);15.71(110/7);23;18;16.00(128/8);16.00(128/8);19;18;16.33(49/3);16.00(64/4);17;17;15.75(63/4);15.38(123/8)
queen6_6.col;11;9;8.00(24/3);7.67(23/3);9;9;7.60(38/5);7.67(23/3);10;8;8.00(24/3);8.00(8/1);9;9;7.40(37/5);8.00(16/2)
queen8_8.col;13;11;11.00(22/2);11.00(11/1);13;11;10.50(42/4);10.00(60/6);15;12;11.00(22/2);10.00(60/6);12;11;9.67(58/6);10.00(50/5)
queen9_9.col;16;13;11.40(57/5);11.00(99/9);15;13;11.75(47/4);11.12(89/8);15;13;11.67(35/3);11.00(55/5);13;13;11.50(23/2);11.00(44/4)
