Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n100-d30-1.col;15;13;11.33(34/3);10.67(64/6);14;13;11.00(33/3);10.60(53/5);13;13;10.40(52/5);10.60(53/5);12;12;10.50(21/2);10.00(100/10)
random-n100-d50-1.col;19;19;19.00(19/1);16.86(118/7);19;19;17.00(51/3);17.00(51/3);19;19;17.00(68/4);16.62(133/8);19;18;16.00(128/8);17.00(34/2)
random-n100-d70-1.col;32;27;25.17(151/6);25.50(51/2);30;28;25.60(128/5);25.00(150/6);28;28;25.50(51/2);24.40(122/5);27;26;25.00(125/5);24.67(74/3)
random-n100-d90-1.col;48;43;41.17(247/6);40.50(162/4);43;42;43.00(43/1);40.50(81/2);47;44;41.20(206/5);40.60(203/5);43;42;40.80(204/5);40.17(241/6)
random-n150-d50-1.col;28;26;22.64(249/11);22.43(157/7);27;26;23.67(71/3);23.00(138/6);27;27;23.00(92/4);23.00(92/4);26;25;22.67(68/3);22.29(156/7)
random-n200-d30-1.col;22;20;18.00(72/4);17.08(205/12);22;21;17.57(123/7);17.00(238/14);21;21;18.50(37/2);17.33(104/6);19;19;17.00(85/5);17.00(68/4)
random-n200-d50-1.col;36;33;28.10(281/10);29.00(87/3);32;32;30.50(61/2);28.14(197/7);35;32;27.67(332/12);28.00(140/5);31;31;28.00(168/6);27.33(164/6)
random-n200-d70-1.col;50;49;43.00(473/11);42.75(513/12);48;48;42.43(297/7);42.44(382/9);50;46;42.60(213/5);42.11(379/9);47;46;43.00(129/3);42.33(381/9)
random-n300-d50-1.col;47;46;39.25(314/8);39.00(312/8);45;45;39.00(351/9);38.30(383/10);45;44;38.14(534/14);38.88(311/8);43;43;40.00(80/2);38.22(344/9)
random-n50-d50-1.col;13;11;10.17(61/6);11.00(11/1);13;11;10.20(51/5);11.00(11/1);12;11;10.33(31/3);9.89(89/9);10;10;10.00(10/1);10.00(10/1)
random-n50-d90-1.col;26;25;24.00(168/7);24.00(72/3);27;25;24.00(72/3);25.00(25/1);27;26;24.25(97/4);24.00(48/2);24;24;24.00(24/1);24.00(24/1)
random-n75-d90-1.col;37;34;32.00(352/11);32.00(64/2);35;32;33.00(66/2);32.00(32/1);36;33;31.75(127/4);32.00(96/3);35;33;32.50(65/2);31.00(62/2)
