Instancia;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
random-n500-d40-1.col;57;54;46.64(513/11);46.33(556/12);56;54;46.12(738/16);46.33(417/9);56;55;47.33(284/6);46.80(234/5);51;51;45.64(502/11);45.60(456/10)
random-n500-d40-10.col;57;54;46.70(467/10);46.43(325/7);54;54;45.96(1057/23);45.86(642/14);55;55;47.00(329/7);45.80(458/10);51;51;46.17(277/6);45.25(543/12)
random-n500-d40-2.col;57;55;47.80(239/5);47.00(235/5);56;55;46.13(692/15);45.92(551/12);56;55;46.86(328/7);45.58(547/12);52;52;45.67(411/9);46.00(230/5)
random-n500-d40-3.col;57;54;46.50(558/12);46.40(464/10);55;54;46.56(419/9);46.25(370/8);57;55;46.88(375/8);45.92(551/12);51;51;45.70(457/10);45.29(317/7)
random-n500-d40-4.col;58;55;46.45(511/11);46.18(508/11);55;54;47.00(423/9);46.22(416/9);56;54;45.92(551/12);46.11(415/9);52;52;45.75(366/8);45.86(321/7)
random-n500-d40-5.col;58;55;46.42(557/12);46.86(328/7);54;54;46.40(464/10);48.00(144/3);55;53;45.92(551/12);46.43(325/7);52;52;45.82(504/11);45.60(456/10)
random-n500-d40-6.col;58;56;46.89(422/9);45.78(824/18);56;55;47.00(235/5);47.00(235/5);57;54;46.50(372/8);45.69(731/16);51;51;45.86(321/7);45.71(320/7)
random-n500-d40-7.col;60;56;46.70(467/10);47.00(235/5);55;54;46.42(557/12);46.00(460/10);57;54;46.38(371/8);46.57(326/7);51;51;46.40(232/5);45.67(274/6)
random-n500-d40-8.col;58;54;46.43(650/14);46.56(419/9);56;53;46.56(419/9);45.85(596/13);57;55;46.78(421/9);46.12(369/8);51;51;45.83(550/12);45.45(500/11)
random-n500-d40-9.col;58;56;45.95(919/20);45.91(505/11);56;53;47.60(238/5);45.80(458/10);57;55;46.62(373/8);46.00(506/11);52;52;45.80(458/10);45.83(275/6)
